,Close
2018-12-05 18:59:00,8.981
2018-12-05 18:58:00,8.9754
2018-12-05 18:57:00,8.9738
2018-12-05 18:56:00,8.9763
2018-12-05 18:55:00,8.9767
2018-12-05 18:54:00,8.9765
2018-12-05 18:53:00,8.9766
2018-12-05 18:52:00,8.9782
2018-12-05 18:51:00,8.9779
2018-12-05 18:50:00,8.9775
2018-12-05 18:49:00,8.9773
2018-12-05 18:48:00,8.9773
2018-12-05 18:47:00,8.9772
2018-12-05 18:46:00,8.9772
2018-12-05 18:45:00,8.9765
2018-12-05 18:44:00,8.9782
2018-12-05 18:43:00,8.977
2018-12-05 18:42:00,8.9768
2018-12-05 18:40:00,8.976
2018-12-05 18:39:00,8.976
2018-12-05 18:38:00,8.9754
2018-12-05 18:37:00,8.9765
2018-12-05 18:36:00,8.9773
2018-12-05 18:35:00,8.9772
2018-12-05 18:34:00,8.9771
2018-12-05 18:33:00,8.9789
2018-12-05 18:32:00,8.9772
2018-12-05 18:31:00,8.9768
2018-12-05 18:30:00,8.9769
2018-12-05 18:29:00,8.9783
2018-12-05 18:28:00,8.9775
2018-12-05 18:27:00,8.9776
2018-12-05 18:26:00,8.9783
2018-12-05 18:25:00,8.9756
2018-12-05 18:24:00,8.9748
2018-12-05 18:23:00,8.9765
2018-12-05 18:22:00,8.9749
2018-12-05 18:21:00,8.9791
2018-12-05 18:20:00,8.9794
2018-12-05 18:19:00,8.9795
2018-12-05 18:18:00,8.9794
2018-12-05 18:17:00,8.9781
2018-12-05 18:16:00,8.9778
2018-12-05 18:15:00,8.9778
2018-12-05 18:14:00,8.9773
2018-12-05 18:13:00,8.9769
2018-12-05 18:12:00,8.977
2018-12-05 18:11:00,8.977
2018-12-05 18:10:00,8.9775
2018-12-05 18:09:00,8.9774
2018-12-05 18:08:00,8.9775
2018-12-05 18:07:00,8.9785
2018-12-05 18:06:00,8.978
2018-12-05 18:05:00,8.978
2018-12-05 18:04:00,8.9777
2018-12-05 18:03:00,8.9777
2018-12-05 18:02:00,8.9773
2018-12-05 18:01:00,8.9767
2018-12-05 18:00:00,8.9774
2018-12-05 17:59:00,8.978
2018-12-05 17:58:00,8.9785
2018-12-05 17:57:00,8.9762
2018-12-05 17:56:00,8.9773
2018-12-05 17:55:00,8.9783
2018-12-05 17:54:00,8.9784
2018-12-05 17:53:00,8.9773
2018-12-05 17:52:00,8.9771
2018-12-05 17:51:00,8.9776
2018-12-05 17:50:00,8.9779
2018-12-05 17:49:00,8.978
2018-12-05 17:48:00,8.9781
2018-12-05 17:47:00,8.9769
2018-12-05 17:46:00,8.9767
2018-12-05 17:45:00,8.9774
2018-12-05 17:44:00,8.977
2018-12-05 17:43:00,8.9763
2018-12-05 17:42:00,8.9762
2018-12-05 17:41:00,8.9772
2018-12-05 17:40:00,8.9774
2018-12-05 17:39:00,8.9779
2018-12-05 17:38:00,8.9758
2018-12-05 17:37:00,8.9755
2018-12-05 17:36:00,8.977
2018-12-05 17:35:00,8.9768
2018-12-05 17:34:00,8.9771
2018-12-05 17:33:00,8.976
2018-12-05 17:32:00,8.9756
2018-12-05 17:31:00,8.9758
2018-12-05 17:30:00,8.975
2018-12-05 17:29:00,8.9761
2018-12-05 17:28:00,8.9755
2018-12-05 17:27:00,8.9748
2018-12-05 17:26:00,8.9745
2018-12-05 17:25:00,8.974
2018-12-05 17:24:00,8.9732
2018-12-05 17:23:00,8.9741
2018-12-05 17:22:00,8.9777
2018-12-05 17:21:00,8.977
2018-12-05 17:20:00,8.9777
2018-12-05 17:19:00,8.9784
2018-12-05 17:18:00,8.978
2018-12-05 17:17:00,8.979
2018-12-05 17:16:00,8.9782
2018-12-05 17:15:00,8.9788
2018-12-05 17:14:00,8.9783
2018-12-05 17:13:00,8.9785
2018-12-05 17:12:00,8.9798
2018-12-05 17:11:00,8.9802
2018-12-05 17:10:00,8.9816
2018-12-05 17:09:00,8.982
2018-12-05 17:08:00,8.9819
2018-12-05 17:07:00,8.9836
2018-12-05 17:06:00,8.9818
2018-12-05 17:05:00,8.981
2018-12-05 17:04:00,8.9809
2018-12-05 17:03:00,8.9799
2018-12-05 17:02:00,8.9797
2018-12-05 17:01:00,8.9785
2018-12-05 17:00:00,8.9784
2018-12-05 16:59:00,8.9793
2018-12-05 16:58:00,8.9793
2018-12-05 16:57:00,8.9791
2018-12-05 16:56:00,8.9775
2018-12-05 16:55:00,8.9772
2018-12-05 16:54:00,8.9773
2018-12-05 16:53:00,8.9767
2018-12-05 16:52:00,8.9773
2018-12-05 16:51:00,8.9761
2018-12-05 16:50:00,8.9757
2018-12-05 16:49:00,8.9766
2018-12-05 16:48:00,8.9784
2018-12-05 16:47:00,8.9789
2018-12-05 16:46:00,8.9796
2018-12-05 16:45:00,8.9805
2018-12-05 16:44:00,8.9812
2018-12-05 16:43:00,8.9817
2018-12-05 16:42:00,8.9822
2018-12-05 16:41:00,8.9814
2018-12-05 16:40:00,8.9812
2018-12-05 16:39:00,8.9813
2018-12-05 16:38:00,8.9796
2018-12-05 16:37:00,8.9795
2018-12-05 16:36:00,8.9807
2018-12-05 16:35:00,8.9798
2018-12-05 16:34:00,8.9806
2018-12-05 16:33:00,8.9805
2018-12-05 16:32:00,8.9812
2018-12-05 16:31:00,8.9809
2018-12-05 16:30:00,8.981
2018-12-05 16:29:00,8.9781
2018-12-05 16:28:00,8.9755
2018-12-05 16:27:00,8.9749
2018-12-05 16:26:00,8.9746
2018-12-05 16:25:00,8.9735
2018-12-05 16:24:00,8.9762
2018-12-05 16:23:00,8.9752
2018-12-05 16:22:00,8.9756
2018-12-05 16:21:00,8.9759
2018-12-05 16:20:00,8.9747
2018-12-05 16:19:00,8.9736
2018-12-05 16:18:00,8.9772
2018-12-05 16:17:00,8.981
2018-12-05 16:16:00,8.981
2018-12-05 16:15:00,8.9818
2018-12-05 16:14:00,8.9786
2018-12-05 16:13:00,8.9814
2018-12-05 16:12:00,8.9858
2018-12-05 16:11:00,8.9847
2018-12-05 16:10:00,8.9855
2018-12-05 16:09:00,8.9838
2018-12-05 16:08:00,8.9827
2018-12-05 16:07:00,8.9823
2018-12-05 16:06:00,8.9829
2018-12-05 16:05:00,8.9821
2018-12-05 16:04:00,8.9811
2018-12-05 16:03:00,8.9831
2018-12-05 16:02:00,8.9853
2018-12-05 16:01:00,8.9843
2018-12-05 16:00:00,8.9856
2018-12-05 15:59:00,8.9851
2018-12-05 15:58:00,8.9883
2018-12-05 15:57:00,8.9891
2018-12-05 15:56:00,8.9891
2018-12-05 15:55:00,8.9895
2018-12-05 15:54:00,8.9917
2018-12-05 15:53:00,8.9856
2018-12-05 15:52:00,8.9856
2018-12-05 15:51:00,8.9864
2018-12-05 15:50:00,8.9845
2018-12-05 15:49:00,8.982
2018-12-05 15:48:00,8.9824
